Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-962M,,,Name:,SpdCoach 2896984,,,Firmware:,---,,,Boat ID:,---
Start Time:,04/24/2024 05:56,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2896984,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.24,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,962.7,980.4,00:06:17.5,00:03:16.1,2.55,00:03:12.3,2.60,22.5,128,7.5,7.7,---,---,---,---,---,---,---,---,---,---,52.3986716,0.2847379


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,962.7,980.4,00:06:17.5,00:03:16.1,2.55,00:03:12.3,2.60,22.5,128,7.5,7.7,---,---,---,---,---,---,---,---,---,---,52.3986716,0.2847379



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3.2,8.7,00:00:02.2,00:08:51.9,0.94,00:05:49.6,1.43,27.0,1,3.2,8.7,---,---,---,---,---,---,---,---,---,---,52.3986716,0.2847379
1,6.7,12.5,00:00:04.4,00:05:33.3,1.50,00:05:24.7,1.54,27.0,2,3.5,3.8,---,---,---,---,---,---,---,---,---,---,52.3986681,0.2846874
1,10.5,16.9,00:00:06.8,00:05:08.6,1.62,00:05:24.7,1.54,27.0,3,3.8,4.4,---,---,---,---,---,---,---,---,---,---,52.3986668,0.2846308
1,14.1,21.0,00:00:09.0,00:04:57.6,1.68,00:05:24.7,1.54,28.0,4,3.6,4.1,---,---,---,---,---,---,---,---,---,---,52.3986613,0.2845788
1,18.3,25.2,00:00:11.2,00:04:49.0,1.73,00:04:31.7,1.84,28.0,5,4.2,4.2,---,---,---,---,---,---,---,---,---,---,52.3986568,0.2845172
1,21.8,28.9,00:00:13.2,00:04:44.1,1.76,00:04:31.7,1.84,28.0,6,3.5,3.8,---,---,---,---,---,---,---,---,---,---,52.3986528,0.2844661
1,25.7,33.2,00:00:15.4,00:04:42.5,1.77,00:04:31.7,1.84,29.0,7,3.9,4.2,---,---,---,---,---,---,---,---,---,---,52.3986471,0.2844096
1,29.2,37.0,00:00:17.4,00:04:37.8,1.80,00:04:24.5,1.89,28.0,8,3.5,3.8,---,---,---,---,---,---,---,---,---,---,52.3986426,0.2843580
1,33.3,41.3,00:00:19.6,00:04:36.2,1.81,00:04:23.2,1.90,29.0,9,4.0,4.3,---,---,---,---,---,---,---,---,---,---,52.3986354,0.2843002
1,37.5,45.5,00:00:21.8,00:04:33.2,1.83,00:04:23.2,1.90,28.0,10,4.2,4.3,---,---,---,---,---,---,---,---,---,---,52.3986235,0.2842416
1,40.5,49.1,00:00:23.6,00:04:28.8,1.86,00:04:23.2,1.90,28.0,11,3.1,3.6,---,---,---,---,---,---,---,---,---,---,52.3986176,0.2841974
1,44.7,53.7,00:00:26.0,00:04:34.7,1.82,00:04:16.4,1.95,28.0,12,4.2,4.6,---,---,---,---,---,---,---,---,---,---,52.3986081,0.2841376
1,48.6,57.9,00:00:28.2,00:04:44.1,1.76,00:04:16.4,1.95,29.0,13,3.9,4.3,---,---,---,---,---,---,---,---,---,---,52.3985968,0.2840834
1,51.3,61.2,00:00:30.0,00:04:47.4,1.74,00:04:16.4,1.95,29.0,14,2.7,3.3,---,---,---,---,---,---,---,---,---,---,52.3985905,0.2840449
1,55.9,65.6,00:00:32.4,00:04:54.1,1.70,00:04:24.5,1.89,28.0,15,4.6,4.5,---,---,---,---,---,---,---,---,---,---,52.3985784,0.2839806
1,59.0,69.0,00:00:34.2,00:04:57.6,1.68,00:04:24.5,1.89,30.0,16,3.2,3.4,---,---,---,---,---,---,---,---,---,---,52.3985704,0.2839357
1,63.0,73.3,00:00:36.4,00:04:54.1,1.70,00:04:31.7,1.84,29.0,17,3.9,4.3,---,---,---,---,---,---,---,---,---,---,52.3985630,0.2838794
1,66.9,77.7,00:00:38.6,00:04:42.5,1.77,00:04:31.7,1.84,29.0,18,4.0,4.4,---,---,---,---,---,---,---,---,---,---,52.3985576,0.2838215
